,Path,Age,Emotion,Class,Features
10,OAF_bar_happy.wav,Old,happy,Old and happy,"[-4.55741882e+02  1.00571236e+02  1.35136957e+01 -1.56667271e+01
 -6.99406195e+00  1.14771042e+01 -1.38210144e+01  3.45870399e+00
 -1.85412064e+01  3.61041999e+00 -1.67410069e+01 -3.79217118e-01
 -5.50273943e+00 -8.38072002e-01  2.87828416e-01  2.71373343e+00
  1.56689382e+00  1.12989759e+01  1.29671264e+00 -4.11940002e+00
  1.03432679e+00  3.22330475e+00  2.79879880e+00  5.87809229e+00
 -2.77807385e-01  4.12838125e+00  3.89074349e+00  6.96248579e+00
 -1.24235797e+00  4.34082174e+00  1.05410886e+00  4.82069397e+00
  6.13351631e+00  1.75890553e+00  2.62982559e+00  4.61179113e+00
  2.01328683e+00  2.55680251e+00  5.41448927e+00  7.78513432e+00]"
11,OAF_bar_neutral.wav,Old,neutral,Old and neutral,"[-5.0234271e+02  8.5092422e+01  1.3254239e+01  1.8997018e+00
 -4.8484855e+00  1.3195846e+01 -7.7435155e+00 -7.6392162e-01
 -1.9081665e+01  5.8351145e+00 -2.3021029e+01  1.1526554e+01
 -5.5865264e+00  5.9441247e+00  5.6247063e+00  5.2294784e+00
 -4.5468159e+00  7.7103348e+00 -5.3492770e+00  1.7849993e+00
  2.1197307e+00 -1.4918551e+00 -3.9105327e+00  2.7861478e+00
 -8.1332912e+00 -1.5182714e+00 -3.9133761e+00  2.8707774e+00
 -3.9055583e+00 -3.6259249e-01 -6.4388084e+00  8.9278454e-01
  1.1345516e+01  2.0793318e+01  3.1112108e+01  3.6187866e+01
  3.2627373e+01  1.5027734e+01  4.8505740e+00 -2.0246480e+00]"
12,OAF_bar_ps.wav,Old,ps,Old and ps,"[-4.3269174e+02  9.9966194e+01  3.3787355e+00 -7.4005113e+00
 -5.6053367e+00  7.1853571e+00 -1.1291744e+01  5.4185281e+00
 -1.9009237e+01  6.0915108e+00 -1.7663445e+01 -2.9157338e-01
 -1.1258097e+00 -2.7710617e+00 -2.5779896e+00 -9.7449178e-01
  6.3918695e-02  5.3886328e+00  1.0699903e-01 -6.0969996e-01
  2.8915951e+00  6.6516280e+00 -1.0361688e+00  3.2490060e+00
 -1.7351892e+00  1.4142355e+00 -1.7669345e+00  1.9831100e+00
 -2.2135088e-01  4.6701980e+00  3.2142138e+00  1.3477331e+00
  2.3841505e+00  9.1878927e-01  6.3588386e+00  3.6385746e+00
  8.3785372e+00  1.1261779e+01  1.1597696e+01  1.1369902e+01]"
13,OAF_bar_sad.wav,Old,sad,Old and sad,"[-5.3166101e+02  8.8863670e+01  2.2462118e+01  1.4307739e+01
  4.7224631e+00  1.6334551e+01 -1.2150962e+01 -6.3187933e+00
 -1.6228617e+01  8.2263117e+00 -1.4295836e+01  8.3636646e+00
 -6.6342654e+00  7.8220248e+00  1.7336856e-01 -4.2228260e+00
  1.8514764e+00 -1.3327327e+00  3.7475569e+00 -5.1506948e+00
  2.7848802e+00 -1.5881075e+00 -3.9999297e+00 -1.6788703e+00
 -5.1837277e+00 -2.5215087e+00 -7.0043844e-01  4.9130344e-01
  3.0900862e+00  8.3335857e+00  8.7765732e+00  1.5926026e+01
  8.9433479e+00  8.8247061e+00  7.3214235e+00  4.3678293e+00
  8.0875769e+00  1.1370471e+01  1.1962422e+01  1.0727288e+01]"
14,OAF_base_angry.wav,Old,angry,Old and angry,"[-4.0697198e+02  3.3019608e+01 -1.1788840e+01  6.1470933e+00
 -7.2644291e+00  6.9370437e+00 -2.4904049e+01  2.7925818e+00
 -1.8011209e+01  3.3118606e+00 -1.6515377e+01  1.1108039e+01
 -3.6352603e+00  9.3831072e+00 -3.6956816e+00  1.5789889e+00
 -3.0739627e+00 -1.0054678e+00 -6.6632881e+00 -9.6743250e+00
 -2.8816023e-01  3.4268041e+00  2.5484545e+00  1.8800394e+01
  2.3251467e+01  2.4292759e+01  2.1792822e+01  1.3729671e+01
  2.4659474e+00  1.8972740e+00  5.1070642e+00  9.1483469e+00
  1.0729648e+01 -3.6534739e+00 -2.3094752e+00  4.1730219e-01
  3.7285843e+00  6.1632991e+00 -7.3085263e-02 -4.1719003e+00]"
15,OAF_base_disgust.wav,Old,disgust,Old and disgust,"[-4.6551917e+02  6.8260040e+01  1.8460993e+01  1.6666698e+01
  1.1175466e+01  1.2704568e+01 -1.6647560e+01  5.5356817e+00
 -1.7921963e+01 -2.2772251e-01 -1.3294900e+01  4.4702649e+00
 -2.5813200e+00  4.9145412e+00 -2.2125905e+00  2.9663885e+00
 -3.8270779e+00  4.8014202e+00 -4.8111296e+00  2.7145083e+00
 -9.7277999e-01 -1.5043010e+00 -1.9786235e+00  1.0002729e-01
 -3.7589777e+00  2.6775603e+00 -6.5390176e-01  3.9845092e+00
 -1.5878609e+00  2.7230284e-01  1.6726816e+00 -1.5779032e-01
  9.6720505e-01  2.1430221e+00  3.0728505e+00  4.4673018e+00
  6.0206456e+00  7.8738079e+00  8.5420809e+00  6.8330998e+00]"
16,OAF_base_fear.wav,Old,fear,Old and fear,"[-448.9593       46.59709       3.7794275    12.944588      1.1507434
    7.110762    -19.366222      3.7112992   -17.89225       6.1782694
  -22.380827     -2.3721452    -6.642955      6.176566     -2.7862558
    4.121575     -2.7371583     4.6786795    -3.5730176    -1.8425777
    0.85076857   13.388703     15.452804     27.67598      27.513668
   16.889282      5.2384777     5.4127645    -2.1419582     4.242935
    4.399876      1.7049505    -1.4120854    -4.8865905    -1.27111
    3.4753976    -0.70803905   -2.5192258    -4.448314      0.5627411 ]"
17,OAF_base_happy.wav,Old,happy,Old and happy,"[-4.6765976e+02  6.9600754e+01  1.4456008e+01  1.1020774e+01
 -4.1244082e+00  7.8791504e+00 -1.3807498e+01  4.4606099e+00
 -1.5007766e+01  9.2225628e+00 -1.7951801e+01  1.4918664e+00
 -6.2211761e+00  2.7952566e+00  4.4761676e-01  3.7044470e+00
  3.8341653e-01  1.5138577e+01 -7.4793315e-01  5.1820726e+00
  2.2827170e+00  3.9213212e+00 -6.4471698e-01  4.4576449e+00
 -1.6003588e+00  2.4381475e+00  3.3289649e-02  5.4656887e+00
 -4.7943735e-01  6.1737599e+00  3.7287805e+00  6.4736724e+00
  7.2080159e+00  3.7294610e+00  4.5583515e+00  6.4368634e+00
  8.0767803e+00  9.4025383e+00  9.7503281e+00  9.8560858e+00]"
18,OAF_base_neutral.wav,Old,neutral,Old and neutral,"[-5.0386844e+02  5.3046780e+01  1.1434400e+01  2.4423883e+01
  3.7858174e+00  1.1200607e+01 -1.3372503e+01 -7.6731199e-01
 -1.8047142e+01  3.2076330e+00 -1.7685244e+01  9.0292072e+00
 -4.3713980e+00  1.0322421e+01  6.6347637e+00  8.4476862e+00
 -5.4464197e+00  8.2277088e+00 -5.0372739e+00  2.7324488e+00
  3.0642891e+00 -1.7828102e+00 -4.1685481e+00  4.6967192e+00
 -8.1126690e+00 -1.1219928e+00 -3.1438749e+00 -4.3800288e-01
 -2.6563051e+00 -2.1992910e+00 -6.8789310e+00  5.5717859e+00
  1.4444647e+01  2.4745836e+01  3.3541981e+01  3.2028023e+01
  2.3765337e+01  8.3900175e+00 -2.2559853e+00 -4.8811692e-01]"
19,OAF_base_ps.wav,Old,ps,Old and ps,"[-4.24574371e+02  6.75967026e+01  5.31303883e+00  1.78273621e+01
  1.49565697e+00  1.65334153e+00 -1.84713192e+01  7.97320318e+00
 -1.99044170e+01  5.43865108e+00 -1.84572601e+01  5.42761445e-01
 -2.67433357e+00  8.50613713e-01 -4.80966210e-01  3.81731600e-01
 -3.96628046e+00  8.46339798e+00 -3.15846944e+00  2.02980566e+00
  3.07819796e+00  3.27014232e+00  1.00749993e+00  4.11618328e+00
 -4.24678183e+00  4.18807507e+00 -3.12041759e+00  4.03894138e+00
 -3.57511640e-01  3.19796371e+00  3.12584090e+00 -9.53124538e-02
  3.38207907e-03 -5.69513321e-01  5.05603218e+00  7.14355612e+00
  1.09151764e+01  1.39639740e+01  1.29224949e+01  1.01285925e+01]"
20,OAF_base_sad.wav,Old,sad,Old and sad,"[-531.6514      77.865715    21.592104    24.727236    13.807357
   15.917933   -21.148481   -13.770829   -17.578056     9.696571
  -17.848701     8.055055    -7.1359806    7.949358    -1.7619271
   -3.2265856    1.2441703    4.2456193    0.758662    -7.251886
    6.4384284   -2.4632385   -4.401299    -2.1401927   -7.6216545
   -0.759195    -2.3923304    1.3305569    0.6983366   10.117504
    9.391307    11.811658     9.762551     6.464757     6.6488943
    7.559505    13.014347    17.321518    13.843499    11.25935  ]"
21,OAF_bath_angry.wav,Old,angry,Old and angry,"[-3.8785806e+02  5.8833225e+01 -1.7689444e+01 -7.7633729e+00
 -9.6876907e+00  1.2455183e+01 -2.6834351e+01 -2.7635176e+00
 -1.7719269e+01  9.5523268e-01 -5.1739845e+00  4.5651164e+00
 -1.9780450e+00  2.6845226e+00  4.7693353e+00  9.3310997e-02
 -6.3045049e+00  6.2760055e-01 -5.1567812e+00 -8.6667194e+00
 -2.8117938e+00 -4.2606678e+00 -3.4008648e+00  9.2176867e+00
  1.0029027e+01  2.2712118e+01  2.0451569e+01  2.1241558e+01
  1.4643782e+01  5.7911777e+00  7.6146829e-01  7.1268044e+00
  8.5161743e+00  4.7798204e+00  4.1258039e+00 -3.5136622e-01
  4.3042784e+00  6.3390741e+00  4.8364167e+00  2.2111285e+00]"
22,OAF_bath_disgust.wav,Old,disgust,Old and disgust,"[-450.12128      91.17473      -2.4831314    -4.826207      9.525
   11.18199     -16.455385      7.7003455   -15.215946      8.949796
   -9.999977      5.0516005    -4.246632      4.63388       0.45637965
    5.163971     -5.7754292     3.5561466    -0.6860662    -3.8373218
    1.1257452    -2.8530352    -3.2866259     1.344367     -2.9407697
    5.4788623     0.5055684     2.9480603     2.5438888     1.4055272
    2.5102727     2.4974318     2.5798602     3.8380709     3.667257
    5.28607       6.520231      4.728202      6.8894176     8.462612  ]"
23,OAF_bath_fear.wav,Old,fear,Old and fear,"[-4.10992126e+02  6.94097214e+01 -1.89685971e-01 -6.34862947e+00
 -8.68161201e+00  9.70278931e+00 -1.80345802e+01  5.58714724e+00
 -2.05928860e+01  9.21488285e+00 -1.87595882e+01 -8.77272367e-01
 -1.16021185e+01  2.82703185e+00 -5.26816463e+00  3.08544040e+00
 -7.03691053e+00  6.53580427e+00  1.16651022e+00 -4.93938494e+00
  1.13918376e+00  3.04105258e+00  4.63996935e+00  1.94564171e+01
  2.39113941e+01  2.47506866e+01  1.82130985e+01  1.15835514e+01
 -2.50278544e+00 -7.44486153e-01  1.61483276e+00  7.16633892e+00
  4.65403700e+00 -2.41332555e+00 -2.71012497e+00  2.48229718e+00
  3.03045893e+00  2.49530649e+00 -2.87794757e+00 -2.62229967e+00]"
24,OAF_bath_happy.wav,Old,happy,Old and happy,"[-4.6374997e+02  9.2903717e+01  6.7918491e+00 -3.7792540e+00
 -6.8056350e+00  1.2855124e+01 -2.0369471e+01  8.5629454e+00
 -1.5539905e+01  3.4112632e+00 -1.3391837e+01 -3.1228521e+00
 -8.7006598e+00  3.9306900e-01 -8.3662605e-01  5.0039558e+00
 -3.5086794e+00  1.4077002e+01  3.6306551e-01 -8.5037577e-01
 -1.3398986e-01 -1.0210204e+00 -1.3203830e+00  3.1959319e+00
 -4.5148854e+00  4.7353425e+00  3.5027924e+00  6.5282412e+00
  5.6626272e+00  4.8728862e+00  5.3366995e+00  5.9972138e+00
  6.6001468e+00  5.5840449e+00  4.8443685e+00  6.2325053e+00
  7.9058990e+00  7.7451982e+00  1.0301108e+01  9.4309664e+00]"
25,OAF_bath_neutral.wav,Old,neutral,Old and neutral,"[-5.04853027e+02  7.93839417e+01  5.06037760e+00  7.77006483e+00
  2.49424100e+00  1.47100620e+01 -1.31263895e+01  1.93313003e+00
 -1.67765808e+01  6.98522186e+00 -1.07410364e+01  5.71834660e+00
 -6.83244562e+00  9.47858334e+00  7.47592688e+00  5.58219242e+00
 -7.87676525e+00  7.10605812e+00 -3.07084394e+00 -3.23334789e+00
  3.61120939e+00  1.42634237e+00 -1.64541662e+00  3.51705402e-01
 -4.74008560e+00  3.51615250e-01 -4.31009674e+00 -1.87337625e+00
  2.02001715e+00  1.20999467e+00 -4.96596861e+00 -1.11611664e+00
 -6.74204206e+00 -1.41864455e+00  7.78673792e+00  1.53872366e+01
  2.71708107e+01  3.24042244e+01  2.69445229e+01  1.85944805e+01]"
26,OAF_bath_ps.wav,Old,ps,Old and ps,"[-4.38463074e+02  9.45017395e+01 -7.98393309e-01 -4.45044231e+00
 -3.62924337e+00  1.34449568e+01 -1.63615246e+01  9.79280758e+00
 -2.14007912e+01  1.17383223e+01 -1.64848728e+01 -9.80731770e-02
 -5.95124245e+00  2.64431024e+00 -2.18005252e+00  9.60276961e-01
 -6.95571280e+00  1.18033695e+01 -3.64801502e+00  3.54023123e+00
  4.08371496e+00  4.72914553e+00 -1.37987411e+00  5.35078144e+00
 -2.79806948e+00  5.35486174e+00 -1.85880589e+00  3.26648831e+00
 -1.16031551e+00  2.20903111e+00  1.65108693e+00  9.24512744e-01
  5.45368373e-01  4.97288853e-01  3.95973611e+00  5.91913128e+00
  9.76333618e+00  1.25538559e+01  1.43610868e+01  1.17108803e+01]"
27,OAF_bath_sad.wav,Old,sad,Old and sad,"[-5.2204181e+02  9.1776588e+01  1.9694820e+01  1.7102062e+01
  1.1354354e+01  1.9801527e+01 -1.3455955e+01 -1.8031071e+00
 -1.7500757e+01  8.3224192e+00 -9.4239426e+00  8.4681654e+00
 -1.0703864e+01  9.0161600e+00  1.0946324e+00 -3.2119676e-01
 -2.8908234e+00  1.6644782e+00  1.4256569e+00 -4.4829345e+00
  4.4178596e+00 -1.6449477e-01 -1.7835077e+00  3.7472504e-01
 -6.6315498e+00 -9.0334255e-01 -8.4989262e-01 -2.3527052e+00
 -1.3673142e-01  4.5572276e+00  2.8424573e+00  6.1754355e+00
  7.2790670e+00  6.2462821e+00  6.7115712e+00  7.5041375e+00
  1.0784807e+01  9.5536270e+00  1.3613013e+01  1.2409982e+01]"
28,OAF_bean_angry.wav,Old,angry,Old and angry,"[-4.0143011e+02  5.7798683e+01 -2.1427512e+00  1.3885356e+01
 -1.1967418e+00  5.5711188e+00 -2.8802099e+01  1.1501614e+01
 -2.3299603e+01 -8.9943352e+00 -1.4141864e+01  7.2830039e-01
 -6.8889623e+00  5.3321924e+00 -7.7843704e+00  1.3178772e-01
 -3.5251520e+00 -5.6573027e-01 -4.7749004e+00 -1.1311743e+01
 -6.9574231e-01  2.7257557e+00  8.5559511e+00  2.4145918e+01
  2.6653746e+01  2.7399622e+01  1.8082823e+01  1.1183725e+01
 -1.3739219e+00  1.5984532e+00  5.0916600e+00  5.5352573e+00
  2.8321421e+00 -1.6981241e+00  6.5210307e-01 -3.9156619e-01
  3.1779752e+00  1.3657120e+00 -1.6278614e+00 -2.3638017e+00]"
29,OAF_bean_disgust.wav,Old,disgust,Old and disgust,"[-4.55328979e+02  7.99099884e+01  2.69470310e+01  2.53978348e+01
  9.60705662e+00  1.17006559e+01 -1.05774975e+01  1.04871273e+01
 -1.96424255e+01 -5.51692009e+00 -1.47129841e+01 -2.65463567e+00
 -4.58756161e+00 -6.45928025e-01 -4.46999025e+00 -1.59694743e+00
 -7.44697237e+00  3.98013973e+00 -4.40104342e+00 -7.82535553e-01
 -8.45680714e-01 -2.85488749e+00 -2.93266869e+00 -2.47976613e+00
 -1.34863913e+00  6.06860209e+00  8.11229795e-02  5.44646215e+00
 -3.06150466e-01  1.36528444e+00  1.54134881e+00  4.35276300e-01
  2.46525598e+00  1.71613431e+00  4.27636099e+00  5.91008377e+00
  5.42041731e+00  1.04335880e+01  1.07966251e+01  7.98663044e+00]"
30,OAF_bean_fear.wav,Old,fear,Old and fear,"[-4.96248322e+02  6.12134819e+01  1.35595255e+01  1.56797419e+01
  1.79397094e+00  7.20700455e+00 -1.28354998e+01  7.72822332e+00
 -1.97453861e+01  1.91059136e+00 -2.24665966e+01 -2.48783374e+00
 -5.73740673e+00  8.38533521e-01 -5.55088186e+00  3.36335659e+00
 -5.01009893e+00  9.09679508e+00  4.36915636e+00  8.42141247e+00
  1.68107414e+01  2.07896442e+01  1.25802670e+01  1.74455471e+01
  4.08102608e+00  8.28100109e+00  1.96652830e+00  1.30206041e+01
  6.93086100e+00  5.61588621e+00 -4.04004574e-01 -3.01228952e+00
  1.87288320e+00  2.02124500e+00  2.38439679e+00 -3.00234318e+00
 -8.80918682e-01 -7.41925895e-01  2.53130078e-01  2.86923766e+00]"
31,OAF_bean_happy.wav,Old,happy,Old and happy,"[-470.90915      86.226685     19.512672     10.177785     -2.7909522
    6.7481184   -12.86999       1.7497272   -26.648676     -0.7905261
  -19.295696     -0.8043403    -7.5946016    -1.9910583    -1.6415179
    0.48628277    2.4655783    15.220292      2.6437728     7.7152576
    2.393222      3.6755593     3.9961293     5.5914335    -0.94174296
    5.697931     -2.9197574     4.6858196    -1.3223366     3.3130512
    0.99758536    1.5900764     4.5066485     4.020218      6.5043774
    6.248264      5.911532      6.4683166     7.0433702     6.8815618 ]"
32,OAF_bean_neutral.wav,Old,neutral,Old and neutral,"[-5.2819519e+02  8.0097092e+01  2.3017487e+01  2.8946577e+01
  7.1321149e+00  1.1709849e+01 -5.9475598e+00  5.6909747e+00
 -1.9961308e+01 -8.6114988e-02 -1.8779482e+01  6.4575601e-01
 -1.0808426e+01  3.1880038e+00  4.4842477e+00  5.4050694e+00
 -5.5848722e+00  9.5684519e+00 -4.1508760e+00  1.7388519e+00
  3.7824218e+00 -1.7429738e+00 -2.6035016e+00  4.8063517e-01
 -6.6871014e+00 -2.5069277e+00 -5.0014172e+00 -4.5184197e+00
 -4.3432765e+00  1.8291951e+00 -4.6720371e+00 -4.5574913e+00
 -5.6918817e+00 -2.6817539e-01  1.2016406e+01  2.0816622e+01
  3.3694031e+01  3.5388577e+01  3.0148218e+01  1.6768187e+01]"
33,OAF_bean_ps.wav,Old,ps,Old and ps,"[-4.8089224e+02  7.9985504e+01  7.0068350e+00  2.2784449e+01
 -1.8509158e+00  8.0487995e+00 -1.8666063e+01  6.3886905e+00
 -2.9093658e+01 -7.4971313e+00 -1.0767241e+01 -9.2461071e+00
 -4.1510715e+00  2.6149940e+00 -8.9532928e+00  2.2874157e+00
 -4.5805268e+00  1.0246915e+01 -9.7087139e-01  6.6200194e+00
  5.1082497e+00  5.6029487e+00 -6.2884587e-01  4.9419045e+00
  1.1683855e+00  9.9261293e+00  5.0743437e+00  5.4639726e+00
  1.9316339e+00 -1.7700157e-01  2.4172575e+00  4.9426394e+00
  1.0739642e+01  1.0958900e+01  1.8517231e+01  1.5448926e+01
  7.4186268e+00  4.6635485e+00  9.3240523e-01  2.1229904e+00]"
